ZIP,EV_ID,ID,EV/station,add car,add station
98055,7,0,#DIV/0!,0,1
98101,613,40,15,1,0
98102,791,8,99,0,1
98103,2135,8,267,0,1
98104,753,42,18,1,0
98105,1423,21,68,0,1
98106,725,6,121,0,1
98107,1042,8,130,0,1
98108,648,9,72,0,1
98109,1432,78,18,1,0
98112,1462,1,1462,0,1
98115,2650,6,442,0,1
98116,1098,1,1098,0,1
98117,1710,4,428,0,1
98118,1479,3,493,0,1
98119,918,5,184,0,1
98121,812,68,12,1,0
98122,1265,12,105,0,1
98124,4,2,2,1,0
98125,1357,16,85,0,1
98126,798,1,798,0,1
98133,599,6,100,0,1
98134,458,25,18,1,0
98136,742,3,247,0,1
98144,1191,3,397,0,1
98146,386,1,386,0,1
98154,0,2,0,1,0
98155,7,0,#DIV/0!,0,1
98164,1,13,0,1,0
98166,3,0,#DIV/0!,0,1
98168,83,0,#DIV/0!,0,1
98177,531,0,#DIV/0!,0,1
98178,531,0,#DIV/0!,0,1
98188,2,5,0,1,0
98191,0,1,0,1,0
98195,0,4,0,1,0
98199,1200,1,1200,0,1
